Timestamp,City,AQI,Primary_Pollutant
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 22:00:00,delhi,57,pm25
2026-03-10 23:00:00,delhi,57,pm25
2026-03-10 23:00:00,delhi,57,pm25
2026-03-11 00:00:00,delhi,57,pm25
2026-03-11 00:00:00,delhi,57,pm25
2026-03-11 01:00:00,delhi,55,pm25
2026-03-11 01:00:00,delhi,55,pm25
2026-03-11 01:00:00,delhi,55,pm25
2026-03-11 03:00:00,delhi,57,pm25
2026-03-11 03:00:00,delhi,57,pm25
2026-03-11 04:00:00,delhi,59,pm25
2026-03-11 04:00:00,delhi,59,pm25
2026-03-11 05:00:00,delhi,63,pm25
2026-03-11 05:00:00,delhi,63,pm25
2026-03-11 05:00:00,delhi,63,pm25
2026-03-11 06:00:00,delhi,68,pm25
2026-03-11 06:00:00,delhi,68,pm25
2026-03-11 07:00:00,delhi,72,pm25
2026-03-11 08:00:00,delhi,72,pm25
2026-03-11 08:00:00,delhi,72,pm25
2026-03-11 09:00:00,delhi,72,pm25
2026-03-11 09:00:00,delhi,72,pm25
2026-03-11 09:00:00,delhi,72,pm25
2026-03-11 09:00:00,delhi,72,pm25
2026-03-11 16:00:00,delhi,68,pm25
2026-03-11 17:00:00,delhi,61,pm25
2026-03-11 20:00:00,delhi,57,pm25
2026-03-11 20:00:00,delhi,57,pm25
2026-03-11 21:00:00,delhi,55,pm25
2026-03-11 21:00:00,delhi,55,pm25
2026-03-11 22:00:00,delhi,55,pm25
2026-03-11 22:00:00,delhi,55,pm25
2026-03-11 22:00:00,delhi,55,pm25
2026-03-12 01:00:00,delhi,46,pm25
2026-03-12 01:00:00,delhi,46,pm25
2026-03-12 02:00:00,delhi,55,pm25
2026-03-12 03:00:00,delhi,57,pm25
2026-03-12 04:00:00,delhi,55,pm25
2026-03-12 04:00:00,delhi,55,pm25
2026-03-12 04:00:00,delhi,55,pm25
2026-03-12 05:00:00,delhi,53,pm25
2026-03-12 05:00:00,delhi,53,pm25
2026-03-12 06:00:00,delhi,53,pm25
2026-03-12 07:00:00,delhi,53,pm25
2026-03-12 07:00:00,delhi,53,pm25
2026-03-12 08:00:00,delhi,59,pm25
2026-03-12 08:00:00,delhi,59,pm25
2026-03-12 09:00:00,delhi,63,pm25
2026-03-12 10:00:00,delhi,65,pm25
2026-03-12 11:00:00,delhi,80,pm25
2026-03-12 11:00:00,delhi,80,pm25
2026-03-12 12:00:00,delhi,104,pm25
2026-03-12 13:00:00,delhi,112,pm25
2026-03-12 13:00:00,delhi,112,pm25
2026-03-12 14:00:00,delhi,112,pm25
2026-03-12 14:00:00,delhi,112,pm25
2026-03-12 15:00:00,delhi,117,pm25
2026-03-12 15:00:00,delhi,117,pm25
2026-03-12 15:00:00,delhi,117,pm25
2026-03-12 16:00:00,delhi,117,pm25
2026-03-12 17:00:00,delhi,107,pm25
2026-03-12 17:00:00,delhi,107,pm25
2026-03-12 18:00:00,delhi,91,pm25
2026-03-12 18:00:00,delhi,91,pm25
2026-03-12 19:00:00,delhi,104,pm25
2026-03-12 19:00:00,delhi,104,pm25
2026-03-12 20:00:00,delhi,107,pm25
2026-03-12 20:00:00,delhi,107,pm25
2026-03-12 21:00:00,delhi,89,pm25
2026-03-12 21:00:00,delhi,89,pm25
2026-03-12 21:00:00,delhi,89,pm25
2026-03-12 22:00:00,delhi,109,pm25
2026-03-12 23:00:00,delhi,124,pm25
2026-03-12 23:00:00,delhi,124,pm25
2026-03-13 01:00:00,delhi,132,pm25
2026-03-13 01:00:00,delhi,132,pm25
2026-03-13 02:00:00,delhi,142,pm25
2026-03-13 02:00:00,delhi,142,pm25
2026-03-13 03:00:00,delhi,144,pm25
2026-03-13 03:00:00,delhi,144,pm25
2026-03-13 04:00:00,delhi,142,pm25
2026-03-13 05:00:00,delhi,139,pm25
2026-03-13 05:00:00,delhi,139,pm25
2026-03-13 06:00:00,delhi,139,pm25
2026-03-13 06:00:00,delhi,139,pm25
2026-03-13 07:00:00,delhi,144,pm25
2026-03-13 07:00:00,delhi,144,pm25
2026-03-13 08:00:00,delhi,149,pm25
2026-03-13 08:00:00,delhi,149,pm25
2026-03-13 08:00:00,delhi,149,pm25
2026-03-13 09:00:00,delhi,144,pm25
2026-03-13 10:00:00,delhi,132,pm25
2026-03-13 10:00:00,delhi,132,pm25
2026-03-14 03:00:00,delhi,97,pm25
2026-03-14 04:00:00,delhi,102,pm25
2026-03-14 04:00:00,delhi,102,pm25
2026-03-14 05:00:00,delhi,107,pm25
2026-03-14 05:00:00,delhi,107,pm25
2026-03-14 16:00:00,delhi,58,o3
2026-03-14 17:00:00,delhi,58,o3
2026-03-14 17:00:00,delhi,58,o3
2026-03-15 00:00:00,delhi,55,pm25
2026-03-15 01:00:00,delhi,46,pm25
2026-03-15 01:00:00,delhi,46,pm25
2026-03-15 02:00:00,delhi,46,pm25
2026-03-15 02:00:00,delhi,46,pm25
2026-03-15 03:00:00,delhi,42,pm25
2026-03-15 04:00:00,delhi,42,pm25
2026-03-15 04:00:00,delhi,42,pm25
2026-03-15 05:00:00,delhi,42,pm25
2026-03-15 05:00:00,delhi,42,pm25
2026-03-15 06:00:00,delhi,50,pm25
2026-03-15 06:00:00,delhi,50,pm25
2026-03-15 07:00:00,delhi,55,pm25
2026-03-15 18:00:00,delhi,55,pm25
2026-03-15 18:00:00,delhi,55,pm25
2026-03-15 19:00:00,delhi,59,pm25
2026-03-16 00:00:00,delhi,65,pm25
2026-03-16 01:00:00,delhi,61,pm25
2026-03-16 01:00:00,delhi,61,pm25
2026-03-16 02:00:00,delhi,55,pm25
2026-03-16 02:00:00,delhi,55,pm25
2026-03-16 03:00:00,delhi,63,pm25
2026-03-16 03:00:00,delhi,63,pm25
2026-03-16 17:00:00,delhi,104,pm25
2026-03-16 18:00:00,delhi,122,pm25
2026-03-17 02:00:00,delhi,134,pm25
2026-03-17 04:00:00,delhi,142,pm25
2026-03-17 04:00:00,delhi,142,pm25
2026-03-17 05:00:00,delhi,151,pm25
2026-03-17 05:00:00,delhi,151,pm25
2026-03-18 03:00:00,delhi,109,pm25
2026-03-18 03:00:00,delhi,109,pm25
2026-03-18 20:00:00,delhi,42,pm25
2026-03-18 21:00:00,delhi,50,pm25
2026-03-19 02:00:00,delhi,63,pm25
2026-03-19 03:00:00,delhi,68,pm25
2026-03-19 03:00:00,delhi,68,pm25
2026-03-19 19:00:00,delhi,97,pm25
2026-03-19 20:00:00,delhi,93,pm25
2026-03-19 20:00:00,delhi,93,pm25
2026-03-19 21:00:00,delhi,78,pm25
2026-03-19 21:00:00,delhi,78,pm25
2026-03-19 22:00:00,delhi,68,pm25
2026-03-19 22:00:00,delhi,68,pm25
2026-03-19 23:00:00,delhi,63,pm25
2026-03-19 23:00:00,delhi,63,pm25
2026-03-20 00:00:00,delhi,53,pm25
2026-03-20 02:00:00,delhi,50,pm25
2026-03-20 03:00:00,delhi,55,pm25
2026-03-20 03:00:00,delhi,55,pm25
2026-03-20 04:00:00,delhi,59,pm25
2026-03-20 14:00:00,delhi,119,pm25
2026-03-20 15:00:00,delhi,95,pm25
2026-03-20 16:00:00,delhi,87,pm25
2026-03-20 17:00:00,delhi,82,pm25
2026-03-21 02:00:00,delhi,34,pm25
2026-03-21 03:00:00,delhi,34,pm25
2026-03-21 15:00:00,delhi,76,pm25
2026-03-21 16:00:00,delhi,82,pm25
2026-03-21 17:00:00,delhi,91,pm25
2026-03-21 18:00:00,delhi,97,pm25
2026-03-21 18:00:00,delhi,97,pm25
2026-03-22 01:00:00,delhi,91,pm25
2026-03-22 02:00:00,delhi,85,pm25
2026-03-22 17:00:00,delhi,102,pm25
2026-03-22 17:00:00,delhi,102,pm25
2026-03-22 18:00:00,delhi,104,pm25
2026-03-23 04:00:00,delhi,85,pm25
2026-03-23 04:00:00,delhi,85,pm25
2026-03-23 05:00:00,delhi,85,pm25
2026-03-23 05:00:00,delhi,85,pm25
2026-03-23 15:00:00,delhi,44,o3
2026-03-23 22:00:00,delhi,72,pm25
2026-03-24 15:00:00,delhi,78,pm25
2026-03-24 15:00:00,delhi,78,pm25
2026-03-24 22:00:00,delhi,91,pm25
2026-03-24 22:00:00,delhi,91,pm25
2026-03-24 23:00:00,delhi,127,pm25
2026-03-25 00:00:00,delhi,147,pm25
2026-03-25 00:00:00,delhi,147,pm25
2026-03-25 01:00:00,delhi,104,pm25
2026-03-25 01:00:00,delhi,104,pm25
2026-03-25 02:00:00,delhi,109,pm25
2026-03-25 02:00:00,delhi,109,pm25
2026-03-25 04:00:00,delhi,139,pm25
2026-03-25 04:00:00,delhi,139,pm25
2026-03-25 15:00:00,delhi,112,pm25
2026-03-25 15:00:00,delhi,112,pm25
2026-03-25 16:00:00,delhi,124,pm25
2026-03-25 16:00:00,delhi,124,pm25
2026-03-25 17:00:00,delhi,109,pm25
2026-03-26 00:00:00,delhi,97,pm25
2026-03-26 00:00:00,delhi,97,pm25
2026-03-26 01:00:00,delhi,93,pm25
2026-03-26 01:00:00,delhi,93,pm25
2026-03-26 02:00:00,delhi,102,pm25
2026-03-26 02:00:00,delhi,102,pm25
2026-03-26 06:00:00,delhi,70,pm25
2026-03-26 06:00:00,delhi,70,pm25
2026-03-26 07:00:00,delhi,72,pm25
2026-03-27 00:00:00,delhi,112,pm25
2026-03-27 01:00:00,delhi,107,pm25
2026-03-27 01:00:00,delhi,107,pm25
2026-03-27 02:00:00,delhi,93,pm25
2026-03-27 03:00:00,delhi,89,pm25
2026-03-27 03:00:00,delhi,89,pm25
2026-03-27 04:00:00,delhi,87,pm25
2026-03-27 04:00:00,delhi,87,pm25
2026-03-27 17:00:00,delhi,46,o3
2026-03-27 19:00:00,delhi,76,pm25
2026-03-28 00:00:00,delhi,89,pm25
2026-03-28 02:00:00,delhi,99,pm25
2026-03-28 02:00:00,delhi,99,pm25
2026-03-28 03:00:00,delhi,104,pm25
2026-03-28 03:00:00,delhi,104,pm25
2026-03-28 04:00:00,delhi,112,pm25
2026-03-28 04:00:00,delhi,112,pm25
2026-03-28 05:00:00,delhi,132,pm25
2026-03-28 05:00:00,delhi,132,pm25
2026-03-28 06:00:00,delhi,132,pm25
2026-03-28 06:00:00,delhi,132,pm25
2026-03-28 18:00:00,delhi,70,pm25
2026-03-28 18:00:00,delhi,70,pm25
2026-03-28 19:00:00,delhi,74,pm25
2026-03-28 19:00:00,delhi,74,pm25
2026-03-28 20:00:00,delhi,78,pm25
2026-03-28 20:00:00,delhi,78,pm25
2026-03-28 21:00:00,delhi,87,pm25
2026-03-28 21:00:00,delhi,87,pm25
2026-03-28 21:00:00,delhi,87,pm25
2026-03-28 21:00:00,delhi,87,pm25
